Goal,Topic,count
Play music,Someone With You,13
Q&A,Ip Man 2,12
Music recommendation,JULY,12
Music on demand,Sleepless Night,12
Music on demand,You Hate Me So Much,12
Music on demand,Golden Armor,12
Music on demand,You're My Love,12
Music on demand,Love Net,12
Music on demand,Hope for Love,12
Music recommendation,Chinese Zodiac,12
Music on demand,She's Gone Far Away,12
Music on demand,Silence is Gold,12
Music on demand,Secret,12
Music on demand,be torn with grief,12
Q&A,The Paranormal:2002,12
Music on demand,Wow!,12
Q&A,The Breakup Guru,12
Music on demand,Wish You Could Decide,12
Music on demand,Dragon Rider,12
Q&A,Life and Death Plunder,12
Music on demand,All the Way,12
Q&A,Last Winner,12
Music on demand,Could You Love Me?,12
Music on demand,You are the Most Precious,12
Music recommendation,Call Me by Your Name,12
Music on demand,Ordinary Heart,12
Q&A,Beijing Rocks,12
Music on demand,The Butterfly Murders,12
Music on demand,Little Love,12
Music on demand,Rain,12
Music on demand,Fireworks Cool Easily,12
Music on demand,Don't Be Afraid,12
Music on demand,Drunk in Love,12
Movie recommendation,The Paranormal:2002,12
Music on demand,Give Me The Time Of A Song,12
Q&A,A Fairy Tale in Beijing,12
Music on demand,A Chinese Ghost Story,12
Music recommendation,Wish,12
Q&A,And Me,12
Music on demand,I Waited Until the Flower Withered,12
Music recommendation,Someone With You,12
Play music,Blessing,11
Play music,Chinese Zodiac,11
Music recommendation,The Coldest Day,10
Play music,The Coldest Day,10
Music recommendation,Drunk in Love,10
Movie recommendation,Saving Mr.Wu,10
Music recommendation,In Deep Autumn,10
Movie recommendation,The Peony Pavilion,10
Music recommendation,Auld lang syne,10
Play music,A Man Of Intention,10
Movie recommendation,Those Were the Days,10
Music on demand,The Era,9
Food recommendation,Sautéed Diced Chicken,9
Q&A,Double Tap,9
Music on demand,Magician,9
Music on demand,Princess Syndrome,9
Music on demand,Hand in Hand Promise,9
Music on demand,Invisible Hands,9
Q&A,Earth: One Amazing Day,9
Music on demand,Impossible to Miss You,9
Music on demand,Blessing,9
Q&A,Happy Running,9
Music on demand,Wolf Legend,9
POI recommendation,Steamed Rice Powder and Pork,9
Q&A,Dragon's Love,9
Music on demand,Rain Falls All Night,9
Q&A,New Shaolin Temple,9
Food recommendation,Braised Hairtail in Brown Sauce ,9
Music on demand,I'm Really Hurt,9
Music on demand,Rooftop,9
Q&A,A Simple Life,9
Music on demand,Seaside,9
Music on demand,Superman Can't Fly,9
Music on demand,Sailor Afraid Of Water,9
Food recommendation,Braised Spare Rib with Veggies,9
Music on demand,Shadow Play ,9
POI recommendation,Supreme Roasted Fish&Lamb Spine Hot Pot,9
Music on demand,Descendants of the Dragon,9
Music on demand,You Will Always Be My Love,9
Food recommendation,Braised Fish,8
Music recommendation,The Star,8
Movie recommendation,After This Our Exile,8
Music recommendation,A Balloon's Journey,8
Movie recommendation,Drunken Master II,8
Play music,Heaven & Earth,7
Play music,Change Me,7
Q&A,Love is Simple,6
Music on demand,Run Toward the Future,6
Q&A,Love For Life,6
Q&A,The Island,6
Q&A,"McDull, Prince de la Bun",6
Q&A,Twelve Nights,6
Music on demand,I Can't Forget You,6
Play music,Coffee,6
Music on demand,Prague Square,6
Music on demand,Think of Each Other in the Wind and Rain,6
Music on demand,The Promised Love,6
Movie recommendation,How Bruce Lee Changed the World,6
Music on demand,Tears of Scattered Emotion,6
Music recommendation,The Only Thing That Matters,6
Music on demand,Hard to Go Back,6
Music recommendation,Little Love,6
Play music,Normal Breathing and Heartbeat,6
Q&A,The Last Tycoon,6
Music on demand,Glass-like Love,6
Q&A,Farewell My Concubine,6
Music recommendation,Happy Birthday to Me,6
Play music,Sleepless Night,5
Play music,Drunk in Love,5
Food recommendation,omelet,5
Play music,Another Heaven,5
Play music,Coupe,5
Play music,The Promised Love,5
Food recommendation,Braised Lobster,5
Movie recommendation,When wind blows again,5
POI recommendation,Charcoal Barbeque,5
Movie recommendation,Pretty Woman,5
Play music,Crystal Quality,5
Play music,Superman Can't Fly,5
Play music,Self Directed Act,5
Music recommendation,Sentimental Past,4
Music recommendation,Sleepless Night,4
Music recommendation,The Promised Love,4
Music recommendation,We Alive,4
Movie recommendation,China Strike Force,4
Music recommendation,When wind blows again,4
Music recommendation,To Love You is to Love Myself,4
Food recommendation,Roasted Prawns,4
Music recommendation,Monica,4
Music recommendation,Say goodbye,4
Music recommendation,Crystal Quality,4
Play music,Love Support,4
Play music,Love of Houston,4
Play music,The Wind Blows On,4
Play music,The Only Thing That Matters,4
Movie recommendation,Sophie's Revenge,4
Q&A,Battle of Wits,3
Play music,Sentimental Past,3
Say goodbye,Mr. Six,3
Music on demand,Enchanting Melody,3
Music on demand,The Moon Represents My Heart,3
Q&A,1:99 Shorts,3
Q&A,There's a place,3
Play music,"Big City, Small Love",3
Play music,Love While Walking (Mandarin),3
Play music,A Branch of Plum Blossom,3
Music on demand,The Pirate,3
Play music,A Balloon's Journey,3
Q&A,Silent Witness,3
Music on demand,Run,3
Music on demand,Breaking Up On Rainy Days,3
Say goodbye,To Me the Way,3
Q&A,Marru a Prefect Man,3
Say goodbye,"Tiles of Deception, Lurid Affections: The Making of 'Lust, Caution'",3
Play music,When wind blows again,3
Music on demand,Wish,3
Q&A,Flying Dagger,3
Music on demand,Sports Car Model ,3
Music on demand,No Need Too Much,3
Play music,To Love You is to Love Myself,3
Music on demand,Music on demand,3
Music on demand,Waiting For You Till My Heart Aches,3
Play music,Monica,3
Music on demand,What We are Today,3
Play music,Say goodbye,3
Music on demand,Chivalry,3
Music on demand,Kiss Goodbye,3
Play music,Ode To Joy,3
Say goodbye,Run,2
Music recommendation,Sense of Security,2
Movie recommendation,Flying With You,2
Music recommendation,Earth Chorus,2
Music recommendation,Goodbye Mr. Loser,2
Music recommendation,In My Lifetime,2
Ask about weather,"Sunny early and hazy later. Variable winds. The high will be - 3 ?? and low - 12 ??,1",1
Say goodbye,Poems & Tears,1
Say goodbye,Should've Loved You,1
Say goodbye,Earth: One Amazing Day,1
Say goodbye,How Are You,1
Say goodbye,The Swordsman,1
Weather notification,"Sunny early and cloudy later. Northeast winds. The high will be 9 ?? and low 1 ??,1",1
Say goodbye,Love Of Eternity,1
Say goodbye,All the Things You Never Knew,1
Say goodbye,The Beast Stalker,1
Movie recommendation,L.O.R.D（Legend of Ravaging Dynasties�?92,92
POI recommendation,Wushan Roasted Fish(Jinzhou Store�?27,27
POI recommendation,Yuxin Sichuan Cuisine（Xidan Store�?18,18
